Report Number,Date Reported,Date of Occurrence,Time of Occurrence,City,Crime Code,Crime Description,Victim Age,Victim Gender,Weapon Used,Crime Domain,Police Deployed,Case Closed,Date Case Closed,Time Case Closed
13873,2021-08-02,2021-08-01,10:04,Delhi,489,HOMICIDE,36,F,Explosives,Other Crime,3,No,,
13874,2021-08-01,2021-08-01,17:41,Bangalore,198,SHOPLIFTING,31,F,Explosives,Other Crime,13,Yes,2021-10-08,06:00
13875,2021-08-02,2021-08-01,00:37,Jaipur,229,TRAFFIC VIOLATION,39,M,Knife,Traffic Fatality,17,No,,
13876,2021-08-01,2021-08-01,20:37,Mumbai,139,ROBBERY,47,F,None,Violent Crime,9,No,,
13877,2021-08-01,2021-08-01,02:54,Jaipur,177,IDENTITY THEFT,44,F,Explosives,Violent Crime,12,Yes,2021-09-26,14:00
13878,2021-08-03,2021-08-01,00:09,Lucknow,572,TRAFFIC VIOLATION,20,F,Blunt Object,Traffic Fatality,10,No,,
13879,2021-08-04,2021-08-01,12:24,Kolkata,102,IDENTITY THEFT,14,F,Knife,Violent Crime,17,No,,
13880,2021-08-04,2021-08-01,18:16,Ahmedabad,529,DRUG OFFENSE,37,F,None,Other Crime,4,No,,
13881,2021-08-02,2021-08-01,08:26,Surat,514,DOMESTIC VIOLENCE,34,F,Firearm,Violent Crime,7,No,,
13882,2021-08-02,2021-08-01,08:07,Delhi,568,COUNTERFEITING,12,F,Poison,Other Crime,3,Yes,2021-08-23,14:00
13883,2021-08-02,2021-08-01,10:39,Kanpur,533,DOMESTIC VIOLENCE,25,F,Explosives,Violent Crime,11,No,,
13884,2021-08-02,2021-08-01,15:10,Mumbai,232,FRAUD,24,M,Explosives,Other Crime,13,No,,
13885,2021-08-01,2021-08-01,08:45,Jaipur,470,BURGLARY,31,M,Knife,Other Crime,3,No,,
13886,2021-08-01,2021-08-01,11:14,Mumbai,488,COUNTERFEITING,60,F,Poison,Other Crime,11,No,,
13887,2021-08-03,2021-08-01,10:21,Surat,171,ASSAULT,51,F,Firearm,Violent Crime,14,Yes,2021-08-27,11:00
13888,2021-08-04,2021-08-01,17:42,Kanpur,356,SHOPLIFTING,25,F,Explosives,Other Crime,2,Yes,2021-10-05,02:00
13889,2021-08-04,2021-08-01,11:40,Hyderabad,560,EXTORTION,27,F,None,Other Crime,17,Yes,2021-09-09,01:00
13890,2021-08-01,2021-08-01,10:01,Thane,238,ROBBERY,16,F,Explosives,Violent Crime,14,No,,
13891,2021-08-01,2021-08-01,10:03,Ahmedabad,292,EXTORTION,26,F,Blunt Object,Other Crime,12,Yes,2021-10-02,23:00
13892,2021-08-03,2021-08-01,05:57,Meerut,104,ILLEGAL POSSESSION,33,F,Knife,Other Crime,16,No,,
13893,2021-08-02,2021-08-01,12:22,Bangalore,596,ROBBERY,50,F,Poison,Violent Crime,3,No,,
13894,2021-08-02,2021-08-01,22:34,Bangalore,470,TRAFFIC VIOLATION,63,F,None,Traffic Fatality,12,No,,
13895,2021-08-04,2021-08-01,04:11,Chennai,591,ARSON,42,M,Explosives,Fire Accident,8,Yes,2021-09-09,19:00
13896,2021-08-02,2021-08-01,10:19,Thane,361,HOMICIDE,75,F,Knife,Other Crime,10,No,,
13897,2021-08-04,2021-08-02,08:03,Bangalore,316,HOMICIDE,62,M,None,Other Crime,12,Yes,2023-05-12,22:00
13898,2021-08-04,2021-08-02,19:32,Bangalore,555,ROBBERY,24,M,None,Violent Crime,3,Yes,2021-12-13,02:00
13899,2021-08-02,2021-08-02,09:56,Chennai,475,HOMICIDE,43,F,Explosives,Other Crime,4,Yes,2023-07-22,04:00
13900,2021-08-04,2021-08-02,17:58,Mumbai,397,ASSAULT,68,F,Explosives,Violent Crime,12,No,,
13901,2021-08-04,2021-08-02,13:42,Delhi,537,HOMICIDE,60,F,Explosives,Other Crime,17,No,,
13902,2021-08-04,2021-08-02,01:52,Delhi,521,FRAUD,24,F,None,Other Crime,7,No,,
13903,2021-08-04,2021-08-02,01:17,Kolkata,383,ILLEGAL POSSESSION,50,M,Blunt Object,Other Crime,16,No,,
13904,2021-08-03,2021-08-02,17:53,Kolkata,449,TRAFFIC VIOLATION,45,F,Knife,Traffic Fatality,17,No,,
13905,2021-08-02,2021-08-02,12:18,Agra,207,ROBBERY,50,M,Firearm,Violent Crime,2,Yes,2021-09-15,16:00
13906,2021-08-04,2021-08-02,00:01,Patna,504,DRUG OFFENSE,62,F,Knife,Other Crime,10,No,,
13907,2021-08-04,2021-08-02,00:06,Kanpur,146,DOMESTIC VIOLENCE,33,F,Poison,Violent Crime,17,Yes,2021-10-08,17:00
13908,2021-08-03,2021-08-02,14:26,Mumbai,397,FRAUD,52,F,Knife,Other Crime,8,Yes,2021-10-04,17:00
13909,2021-08-03,2021-08-02,13:00,Mumbai,560,DOMESTIC VIOLENCE,72,M,None,Violent Crime,1,No,,
13910,2021-08-04,2021-08-02,10:02,Mumbai,479,SHOPLIFTING,39,M,Blunt Object,Other Crime,7,No,,
13911,2021-08-05,2021-08-02,20:59,Jaipur,324,ROBBERY,19,F,Other,Violent Crime,19,Yes,2021-12-15,01:00
13912,2021-08-03,2021-08-02,23:59,Bangalore,391,TRAFFIC VIOLATION,73,F,Knife,Traffic Fatality,16,No,,
13913,2021-08-05,2021-08-02,09:36,Mumbai,540,ILLEGAL POSSESSION,41,F,None,Other Crime,15,Yes,2021-10-12,03:00
13914,2021-08-02,2021-08-02,17:25,Ludhiana,596,SEXUAL ASSAULT,60,F,None,Violent Crime,12,No,,
13915,2021-08-04,2021-08-02,19:26,Chennai,349,IDENTITY THEFT,62,F,Firearm,Violent Crime,11,Yes,2021-08-27,01:00
13916,2021-08-04,2021-08-02,20:05,Chennai,585,FIREARM OFFENSE,36,F,None,Fire Accident,19,No,,
13917,2021-08-05,2021-08-02,19:15,Bangalore,385,ASSAULT,33,F,Knife,Violent Crime,8,No,,
13918,2021-08-03,2021-08-02,02:47,Lucknow,283,ILLEGAL POSSESSION,42,F,Other,Other Crime,10,No,,
13919,2021-08-03,2021-08-02,18:30,Delhi,245,ARSON,20,F,Poison,Fire Accident,14,No,,
13920,2021-08-05,2021-08-02,06:14,Hyderabad,270,SHOPLIFTING,66,F,Blunt Object,Other Crime,18,Yes,2021-09-22,12:00
13921,2021-08-05,2021-08-03,14:02,Pune,299,KIDNAPPING,30,F,Knife,Other Crime,11,Yes,2021-10-09,22:00
13922,2021-08-03,2021-08-03,13:20,Vasai,298,ROBBERY,75,M,None,Violent Crime,13,No,,
13923,2021-08-04,2021-08-03,17:51,Chennai,168,ASSAULT,45,M,Blunt Object,Violent Crime,17,Yes,2021-08-11,10:00
13924,2021-08-04,2021-08-03,12:52,Ludhiana,138,KIDNAPPING,25,F,Knife,Other Crime,15,No,,
13925,2021-08-04,2021-08-03,20:33,Lucknow,302,EXTORTION,45,M,Blunt Object,Other Crime,19,Yes,2021-10-25,20:00
13926,2021-08-05,2021-08-03,13:27,Pune,298,KIDNAPPING,67,M,None,Other Crime,10,Yes,2021-09-20,13:00
13927,2021-08-04,2021-08-03,08:53,Bangalore,267,HOMICIDE,13,F,Knife,Other Crime,14,Yes,2022-12-23,02:00
13928,2021-08-05,2021-08-03,23:11,Mumbai,308,TRAFFIC VIOLATION,72,M,Other,Traffic Fatality,19,Yes,2021-08-19,19:00
13929,2021-08-05,2021-08-03,21:19,Pune,478,ARSON,63,M,Knife,Fire Accident,3,No,,
13930,2021-08-03,2021-08-03,21:24,Ahmedabad,163,CYBERCRIME,12,M,Firearm,Other Crime,2,Yes,2021-10-16,14:00
13931,2021-08-05,2021-08-03,09:25,Thane,429,FRAUD,18,F,Firearm,Other Crime,12,Yes,2021-10-07,15:00
13932,2021-08-04,2021-08-03,07:20,Jaipur,138,PUBLIC INTOXICATION,21,F,None,Other Crime,8,Yes,2021-08-10,08:00
13933,2021-08-05,2021-08-03,10:54,Jaipur,141,DRUG OFFENSE,69,F,None,Other Crime,5,Yes,2021-09-21,14:00
13934,2021-08-05,2021-08-03,07:38,Delhi,291,DOMESTIC VIOLENCE,11,F,Poison,Violent Crime,8,No,,
13935,2021-08-03,2021-08-03,00:42,Kanpur,297,DOMESTIC VIOLENCE,47,M,Firearm,Violent Crime,12,No,,
13936,2021-08-05,2021-08-03,11:31,Kolkata,119,SHOPLIFTING,36,F,Blunt Object,Other Crime,11,Yes,2021-08-12,19:00
13937,2021-08-05,2021-08-03,18:40,Hyderabad,339,VEHICLE - STOLEN,30,M,Explosives,Violent Crime,4,No,,
13938,2021-08-05,2021-08-03,01:36,Jaipur,152,SHOPLIFTING,34,M,None,Other Crime,14,No,,
13939,2021-08-06,2021-08-03,17:31,Hyderabad,437,DOMESTIC VIOLENCE,64,F,Poison,Violent Crime,16,No,,
13940,2021-08-04,2021-08-03,06:44,Ghaziabad,102,VANDALISM,78,F,Other,Other Crime,8,Yes,2021-08-30,06:00
13941,2021-08-05,2021-08-03,13:57,Kolkata,565,ASSAULT,37,F,Knife,Violent Crime,10,Yes,2021-10-05,13:00
13942,2021-08-06,2021-08-03,14:00,Delhi,326,ILLEGAL POSSESSION,16,M,Other,Other Crime,3,No,,
13943,2021-08-05,2021-08-03,10:44,Kanpur,285,ARSON,37,F,Blunt Object,Fire Accident,18,No,,
13944,2021-08-04,2021-08-03,01:37,Patna,104,DOMESTIC VIOLENCE,21,M,Poison,Violent Crime,17,No,,
13945,2021-08-06,2021-08-04,11:37,Thane,247,DRUG OFFENSE,46,M,Explosives,Other Crime,10,No,,
13946,2021-08-04,2021-08-04,02:11,Delhi,232,PUBLIC INTOXICATION,36,F,Knife,Other Crime,12,No,,
13947,2021-08-06,2021-08-04,22:27,Chennai,157,ROBBERY,66,M,Other,Violent Crime,9,No,,
13948,2021-08-04,2021-08-04,14:41,Ghaziabad,566,ILLEGAL POSSESSION,34,F,Explosives,Other Crime,3,No,,
13949,2021-08-05,2021-08-04,10:23,Delhi,273,VEHICLE - STOLEN,52,F,Blunt Object,Violent Crime,5,No,,
13950,2021-08-07,2021-08-04,04:12,Lucknow,409,SEXUAL ASSAULT,30,F,Firearm,Violent Crime,7,Yes,2022-03-15,01:00
13951,2021-08-04,2021-08-04,02:45,Delhi,370,VANDALISM,54,F,Explosives,Other Crime,17,Yes,2021-09-20,21:00
13952,2021-08-06,2021-08-04,07:45,Delhi,586,COUNTERFEITING,51,M,Knife,Other Crime,19,No,,
13953,2021-08-05,2021-08-04,08:11,Ludhiana,579,ASSAULT,79,F,None,Violent Crime,9,Yes,2021-09-18,18:00
13954,2021-08-05,2021-08-04,03:58,Vasai,353,EXTORTION,54,F,Poison,Other Crime,2,Yes,2021-10-20,07:00
13955,2021-08-05,2021-08-04,15:19,Hyderabad,276,KIDNAPPING,42,M,Explosives,Other Crime,1,No,,
13956,2021-08-07,2021-08-04,05:14,Jaipur,513,FIREARM OFFENSE,39,F,Explosives,Fire Accident,1,Yes,2021-10-21,03:00
13957,2021-08-05,2021-08-04,02:53,Delhi,205,DRUG OFFENSE,33,F,None,Other Crime,7,No,,
13958,2021-08-05,2021-08-04,02:11,Bangalore,352,COUNTERFEITING,39,M,Explosives,Other Crime,9,No,,
13959,2021-08-05,2021-08-04,03:25,Bangalore,163,DRUG OFFENSE,37,F,Explosives,Other Crime,17,No,,
13960,2021-08-06,2021-08-04,19:25,Mumbai,482,VANDALISM,49,M,Other,Other Crime,13,Yes,2021-08-15,02:00
13961,2021-08-06,2021-08-04,05:37,Mumbai,446,COUNTERFEITING,39,F,Other,Other Crime,13,Yes,2021-08-20,14:00
13962,2021-08-06,2021-08-04,16:25,Bangalore,363,PUBLIC INTOXICATION,14,F,Knife,Other Crime,3,Yes,2021-08-16,16:00
13963,2021-08-05,2021-08-04,05:09,Chennai,539,SEXUAL ASSAULT,10,M,Explosives,Violent Crime,7,No,,
13964,2021-08-05,2021-08-04,19:35,Delhi,244,ARSON,31,M,Firearm,Fire Accident,1,No,,
13965,2021-08-05,2021-08-04,03:07,Lucknow,481,HOMICIDE,69,F,Firearm,Other Crime,13,Yes,2022-09-20,17:00
13966,2021-08-05,2021-08-04,18:04,Delhi,175,ROBBERY,13,F,Poison,Violent Crime,19,Yes,2022-01-30,08:00
13967,2021-08-05,2021-08-04,11:32,Ghaziabad,140,DOMESTIC VIOLENCE,15,F,Firearm,Violent Crime,4,Yes,2021-08-15,07:00
13968,2021-08-05,2021-08-04,11:12,Jaipur,399,DOMESTIC VIOLENCE,36,F,Poison,Violent Crime,2,No,,
13969,2021-08-06,2021-08-05,13:27,Chennai,132,VEHICLE - STOLEN,18,F,Knife,Violent Crime,15,Yes,2021-10-21,12:00
13970,2021-08-06,2021-08-05,06:51,Pune,314,SHOPLIFTING,14,F,Blunt Object,Other Crime,3,Yes,2021-09-10,02:00
13971,2021-08-07,2021-08-05,17:35,Indore,233,ARSON,37,F,Blunt Object,Fire Accident,19,No,,
13972,2021-08-06,2021-08-05,22:08,Kalyan,499,ROBBERY,71,M,Knife,Violent Crime,11,Yes,2022-01-24,02:00
13973,2021-08-05,2021-08-05,07:04,Delhi,294,DOMESTIC VIOLENCE,46,F,Poison,Violent Crime,5,No,,
13974,2021-08-08,2021-08-05,02:50,Jaipur,501,ROBBERY,75,M,None,Violent Crime,4,No,,
13975,2021-08-05,2021-08-05,21:10,Srinagar,408,BURGLARY,52,M,Explosives,Other Crime,7,No,,
13976,2021-08-07,2021-08-05,03:44,Ahmedabad,425,PUBLIC INTOXICATION,10,F,Firearm,Other Crime,5,No,,
13977,2021-08-06,2021-08-05,12:09,Chennai,177,PUBLIC INTOXICATION,61,F,Firearm,Other Crime,4,No,,
13978,2021-08-06,2021-08-05,05:01,Nashik,283,VEHICLE - STOLEN,21,F,Poison,Violent Crime,4,Yes,2021-10-12,12:00
13979,2021-08-06,2021-08-05,09:29,Ghaziabad,226,BURGLARY,74,M,Other,Other Crime,15,No,,
13980,2021-08-05,2021-08-05,11:53,Delhi,272,ILLEGAL POSSESSION,78,F,Explosives,Other Crime,13,No,,
13981,2021-08-07,2021-08-05,19:55,Jaipur,399,FRAUD,41,F,Blunt Object,Other Crime,13,No,,
13982,2021-08-06,2021-08-05,18:29,Bangalore,275,CYBERCRIME,70,F,Firearm,Other Crime,1,Yes,2021-10-22,01:00
13983,2021-08-06,2021-08-05,15:01,Patna,161,PUBLIC INTOXICATION,38,F,Explosives,Other Crime,11,Yes,2021-08-23,10:00
13984,2021-08-06,2021-08-05,23:26,Ahmedabad,478,KIDNAPPING,55,M,Blunt Object,Other Crime,11,No,,
13985,2021-08-07,2021-08-05,15:08,Delhi,110,COUNTERFEITING,35,F,Firearm,Other Crime,13,No,,
13986,2021-08-07,2021-08-05,16:02,Mumbai,252,HOMICIDE,24,M,Blunt Object,Other Crime,16,No,,
13987,2021-08-05,2021-08-05,00:11,Mumbai,553,SHOPLIFTING,30,F,None,Other Crime,3,Yes,2021-08-28,19:00
13988,2021-08-08,2021-08-05,07:13,Delhi,249,FIREARM OFFENSE,26,F,Knife,Fire Accident,9,No,,
13989,2021-08-08,2021-08-05,22:20,Bangalore,447,EXTORTION,79,M,Other,Other Crime,12,Yes,2021-10-18,17:00
13990,2021-08-07,2021-08-05,23:52,Delhi,403,ARSON,24,F,Explosives,Fire Accident,8,Yes,2021-11-01,14:00
13991,2021-08-06,2021-08-05,00:05,Chennai,115,VEHICLE - STOLEN,28,F,Firearm,Violent Crime,17,Yes,2021-08-19,02:00
13992,2021-08-07,2021-08-05,03:29,Agra,540,SEXUAL ASSAULT,34,M,Firearm,Violent Crime,13,Yes,2022-02-22,18:00
13993,2021-08-07,2021-08-06,21:25,Agra,356,ROBBERY,38,F,Other,Violent Crime,16,Yes,2021-11-16,22:00
13994,2021-08-06,2021-08-06,10:20,Pune,578,DRUG OFFENSE,66,F,Explosives,Other Crime,8,Yes,2021-09-17,14:00
13995,2021-08-06,2021-08-06,00:20,Chennai,440,CYBERCRIME,16,F,Knife,Other Crime,10,No,,
13996,2021-08-07,2021-08-06,11:56,Vasai,227,SEXUAL ASSAULT,70,F,Explosives,Violent Crime,6,Yes,2023-06-09,15:00
13997,2021-08-06,2021-08-06,05:03,Mumbai,593,KIDNAPPING,70,M,Knife,Other Crime,14,No,,
13998,2021-08-07,2021-08-06,19:10,Patna,381,ROBBERY,66,F,Knife,Violent Crime,2,No,,
13999,2021-08-07,2021-08-06,09:55,Mumbai,336,PUBLIC INTOXICATION,54,F,Other,Other Crime,6,Yes,2021-08-15,02:00
14000,2021-08-08,2021-08-06,18:52,Mumbai,232,HOMICIDE,50,F,None,Other Crime,6,No,,
14001,2021-08-07,2021-08-06,06:11,Jaipur,299,DOMESTIC VIOLENCE,52,M,Firearm,Violent Crime,1,Yes,2021-10-17,22:00
14002,2021-08-06,2021-08-06,20:30,Delhi,300,COUNTERFEITING,19,F,Blunt Object,Other Crime,9,No,,
14003,2021-08-07,2021-08-06,17:34,Delhi,156,HOMICIDE,21,M,Poison,Other Crime,8,Yes,2022-09-16,20:00
14004,2021-08-06,2021-08-06,06:18,Delhi,270,BURGLARY,27,M,None,Other Crime,19,Yes,2021-12-02,14:00
14005,2021-08-09,2021-08-06,02:12,Mumbai,556,PUBLIC INTOXICATION,36,F,Blunt Object,Other Crime,8,No,,
14006,2021-08-08,2021-08-06,18:40,Mumbai,110,ROBBERY,18,M,None,Violent Crime,8,No,,
14007,2021-08-09,2021-08-06,13:16,Thane,186,CYBERCRIME,21,M,Knife,Other Crime,2,Yes,2021-10-17,04:00
14008,2021-08-07,2021-08-06,16:58,Mumbai,171,CYBERCRIME,17,F,None,Other Crime,2,Yes,2021-10-28,22:00
14009,2021-08-07,2021-08-06,15:35,Delhi,162,VANDALISM,64,F,Explosives,Other Crime,7,Yes,2021-10-10,17:00
14010,2021-08-08,2021-08-06,20:28,Delhi,297,DOMESTIC VIOLENCE,10,F,Blunt Object,Violent Crime,16,Yes,2021-08-28,02:00
14011,2021-08-09,2021-08-06,13:58,Delhi,487,FIREARM OFFENSE,18,M,None,Fire Accident,14,Yes,2021-10-06,03:00
14012,2021-08-07,2021-08-06,06:30,Delhi,185,VANDALISM,66,F,Blunt Object,Other Crime,1,Yes,2021-11-04,10:00
14013,2021-08-06,2021-08-06,00:06,Pune,366,IDENTITY THEFT,48,M,Other,Violent Crime,3,Yes,2021-09-24,22:00
14014,2021-08-07,2021-08-06,05:52,Bangalore,267,FRAUD,70,F,Explosives,Other Crime,18,No,,
14015,2021-08-07,2021-08-06,04:41,Kolkata,589,IDENTITY THEFT,58,F,Knife,Violent Crime,1,No,,
14016,2021-08-08,2021-08-06,10:35,Hyderabad,127,PUBLIC INTOXICATION,11,F,Poison,Other Crime,5,No,,
14017,2021-08-09,2021-08-07,19:00,Pune,338,ROBBERY,32,F,Firearm,Violent Crime,11,No,,
14018,2021-08-08,2021-08-07,00:18,Bangalore,306,COUNTERFEITING,56,F,Poison,Other Crime,18,Yes,2021-10-22,12:00
14019,2021-08-07,2021-08-07,10:30,Bangalore,257,FRAUD,33,F,Blunt Object,Other Crime,5,No,,
14020,2021-08-07,2021-08-07,09:33,Mumbai,234,DOMESTIC VIOLENCE,69,F,Explosives,Violent Crime,15,No,,
14021,2021-08-07,2021-08-07,21:33,Patna,250,VEHICLE - STOLEN,79,F,Firearm,Violent Crime,6,Yes,2021-10-16,16:00
14022,2021-08-09,2021-08-07,04:00,Chennai,160,ILLEGAL POSSESSION,66,M,None,Other Crime,15,No,,
14023,2021-08-07,2021-08-07,14:49,Chennai,428,VANDALISM,44,M,Knife,Other Crime,15,Yes,2021-10-31,23:00
14024,2021-08-08,2021-08-07,11:35,Patna,117,SEXUAL ASSAULT,24,M,Knife,Violent Crime,3,No,,
14025,2021-08-07,2021-08-07,16:53,Lucknow,386,FRAUD,70,F,Blunt Object,Other Crime,7,Yes,2021-09-12,12:00
14026,2021-08-08,2021-08-07,22:36,Bangalore,390,ROBBERY,64,F,Poison,Violent Crime,4,Yes,2021-11-02,09:00
14027,2021-08-07,2021-08-07,04:17,Ahmedabad,362,FIREARM OFFENSE,48,M,Knife,Fire Accident,7,Yes,2021-09-07,22:00
14028,2021-08-07,2021-08-07,19:51,Bangalore,547,COUNTERFEITING,40,M,Blunt Object,Other Crime,3,No,,
14029,2021-08-08,2021-08-07,12:31,Pune,266,VANDALISM,57,F,Blunt Object,Other Crime,15,No,,
14030,2021-08-08,2021-08-07,16:48,Delhi,395,ARSON,14,F,Other,Fire Accident,7,Yes,2021-11-01,08:00
14031,2021-08-10,2021-08-07,05:57,Pune,503,CYBERCRIME,71,F,Firearm,Other Crime,4,No,,
14032,2021-08-09,2021-08-07,11:34,Delhi,376,KIDNAPPING,30,M,Blunt Object,Other Crime,19,Yes,2021-10-24,23:00
14033,2021-08-07,2021-08-07,06:21,Ahmedabad,585,EXTORTION,42,F,Blunt Object,Other Crime,13,Yes,2021-10-08,17:00
14034,2021-08-09,2021-08-07,11:20,Kolkata,516,SHOPLIFTING,79,M,Other,Other Crime,17,Yes,2021-09-12,13:00
14035,2021-08-10,2021-08-07,00:52,Srinagar,121,COUNTERFEITING,25,F,Knife,Other Crime,19,Yes,2021-10-08,02:00
14036,2021-08-08,2021-08-07,22:50,Ahmedabad,153,CYBERCRIME,77,F,Poison,Other Crime,9,No,,
14037,2021-08-10,2021-08-07,05:03,Bhopal,189,DOMESTIC VIOLENCE,49,F,Blunt Object,Violent Crime,9,Yes,2021-09-13,12:00
14038,2021-08-08,2021-08-07,06:47,Mumbai,115,TRAFFIC VIOLATION,30,M,Blunt Object,Traffic Fatality,14,Yes,2021-08-12,20:00
14039,2021-08-10,2021-08-07,22:25,Hyderabad,416,DRUG OFFENSE,64,M,Other,Other Crime,14,Yes,2021-10-13,16:00
14040,2021-08-08,2021-08-07,11:03,Visakhapatnam,334,FIREARM OFFENSE,12,F,Firearm,Fire Accident,8,No,,
14041,2021-08-10,2021-08-08,09:30,Delhi,445,PUBLIC INTOXICATION,30,M,Explosives,Other Crime,19,No,,
14042,2021-08-09,2021-08-08,17:57,Mumbai,283,DRUG OFFENSE,61,F,Knife,Other Crime,11,Yes,2021-09-27,13:00
14043,2021-08-10,2021-08-08,06:12,Ludhiana,337,VANDALISM,37,F,Other,Other Crime,10,No,,
14044,2021-08-11,2021-08-08,02:37,Visakhapatnam,323,TRAFFIC VIOLATION,22,F,Explosives,Traffic Fatality,9,No,,
14045,2021-08-08,2021-08-08,02:58,Hyderabad,527,SEXUAL ASSAULT,52,F,Poison,Violent Crime,3,Yes,2022-12-17,10:00
14046,2021-08-09,2021-08-08,16:25,Lucknow,393,BURGLARY,53,F,Knife,Other Crime,10,Yes,2021-11-15,03:00
14047,2021-08-10,2021-08-08,09:11,Chennai,143,PUBLIC INTOXICATION,58,F,None,Other Crime,16,No,,
14048,2021-08-08,2021-08-08,03:42,Delhi,399,IDENTITY THEFT,66,M,None,Violent Crime,14,Yes,2021-10-31,17:00
14049,2021-08-09,2021-08-08,21:17,Delhi,343,ASSAULT,47,F,Other,Violent Crime,10,Yes,2021-10-28,04:00
14050,2021-08-10,2021-08-08,17:16,Bangalore,381,SHOPLIFTING,66,F,Other,Other Crime,1,No,,
14051,2021-08-10,2021-08-08,08:35,Delhi,121,VANDALISM,42,F,Poison,Other Crime,14,No,,
14052,2021-08-10,2021-08-08,13:20,Patna,128,VEHICLE - STOLEN,54,F,None,Violent Crime,5,No,,
14053,2021-08-11,2021-08-08,17:27,Lucknow,145,IDENTITY THEFT,56,M,Poison,Violent Crime,10,No,,
14054,2021-08-10,2021-08-08,13:27,Varanasi,368,HOMICIDE,54,F,None,Other Crime,3,Yes,2022-04-16,03:00
14055,2021-08-09,2021-08-08,20:04,Mumbai,219,IDENTITY THEFT,18,M,Poison,Violent Crime,5,No,,
14056,2021-08-11,2021-08-08,21:56,Ghaziabad,404,SEXUAL ASSAULT,23,F,Explosives,Violent Crime,16,No,,
14057,2021-08-10,2021-08-08,18:05,Patna,389,FIREARM OFFENSE,42,M,Explosives,Fire Accident,5,Yes,2021-10-29,16:00
14058,2021-08-09,2021-08-08,17:24,Delhi,322,VEHICLE - STOLEN,73,F,Other,Violent Crime,5,No,,
14059,2021-08-11,2021-08-08,10:27,Chennai,321,TRAFFIC VIOLATION,55,F,Poison,Traffic Fatality,16,No,,
14060,2021-08-09,2021-08-08,20:27,Chennai,290,IDENTITY THEFT,75,F,Poison,Violent Crime,8,No,,
14061,2021-08-10,2021-08-08,09:04,Ahmedabad,394,ILLEGAL POSSESSION,30,F,Blunt Object,Other Crime,15,Yes,2021-10-31,00:00
14062,2021-08-10,2021-08-08,17:30,Ahmedabad,325,TRAFFIC VIOLATION,54,F,Other,Traffic Fatality,4,Yes,2021-08-17,04:00
14063,2021-08-09,2021-08-08,19:26,Nagpur,592,TRAFFIC VIOLATION,34,F,Explosives,Traffic Fatality,5,No,,
14064,2021-08-10,2021-08-08,16:00,Nagpur,221,SHOPLIFTING,65,F,None,Other Crime,4,No,,
14065,2021-08-11,2021-08-09,20:52,Ludhiana,381,CYBERCRIME,65,M,None,Other Crime,11,Yes,2021-09-08,07:00
14066,2021-08-09,2021-08-09,21:02,Hyderabad,103,CYBERCRIME,58,F,Other,Other Crime,10,Yes,2021-10-31,21:00
14067,2021-08-09,2021-08-09,07:29,Patna,399,KIDNAPPING,49,M,None,Other Crime,17,Yes,2021-08-21,07:00
14068,2021-08-09,2021-08-09,23:57,Ludhiana,420,VEHICLE - STOLEN,24,F,Other,Violent Crime,11,Yes,2021-09-07,09:00
14069,2021-08-12,2021-08-09,21:13,Delhi,474,FIREARM OFFENSE,24,M,Firearm,Fire Accident,14,Yes,2021-11-03,00:00
14070,2021-08-11,2021-08-09,15:30,Nagpur,508,SHOPLIFTING,38,F,Poison,Other Crime,13,Yes,2021-10-04,03:00
14071,2021-08-12,2021-08-09,17:31,Lucknow,185,IDENTITY THEFT,77,F,Poison,Violent Crime,15,No,,
14072,2021-08-11,2021-08-09,21:58,Ludhiana,481,VANDALISM,14,F,Firearm,Other Crime,15,No,,
14073,2021-08-11,2021-08-09,09:30,Kolkata,475,ARSON,15,M,Firearm,Fire Accident,13,No,,
14074,2021-08-09,2021-08-09,08:18,Mumbai,132,SHOPLIFTING,15,F,None,Other Crime,12,No,,
14075,2021-08-11,2021-08-09,18:16,Delhi,129,SEXUAL ASSAULT,64,F,Explosives,Violent Crime,10,Yes,2023-01-22,19:00
14076,2021-08-11,2021-08-09,19:04,Kolkata,556,FRAUD,65,F,Blunt Object,Other Crime,17,No,,
14077,2021-08-10,2021-08-09,16:43,Agra,196,FIREARM OFFENSE,34,F,None,Fire Accident,7,Yes,2021-10-27,04:00
14078,2021-08-12,2021-08-09,18:21,Pune,140,SHOPLIFTING,61,F,Firearm,Other Crime,7,No,,
14079,2021-08-12,2021-08-09,01:50,Mumbai,411,HOMICIDE,42,M,Firearm,Other Crime,4,Yes,2023-07-12,03:00
14080,2021-08-11,2021-08-09,09:31,Bangalore,205,VANDALISM,53,F,Knife,Other Crime,7,No,,
14081,2021-08-11,2021-08-09,09:02,Nagpur,298,ARSON,17,F,Other,Fire Accident,8,No,,
14082,2021-08-09,2021-08-09,03:19,Hyderabad,383,VANDALISM,61,M,Blunt Object,Other Crime,16,No,,
14083,2021-08-12,2021-08-09,18:48,Vasai,597,ARSON,23,M,Explosives,Fire Accident,12,Yes,2021-10-04,11:00
14084,2021-08-12,2021-08-09,03:18,Delhi,335,DOMESTIC VIOLENCE,53,M,Knife,Violent Crime,19,Yes,2021-08-27,13:00
14085,2021-08-10,2021-08-09,14:48,Delhi,485,CYBERCRIME,77,M,None,Other Crime,14,No,,
14086,2021-08-12,2021-08-09,03:43,Faridabad,402,VANDALISM,56,F,None,Other Crime,2,Yes,2021-10-31,15:00
